id,個案研判日,個案公佈日,縣市別,區域,新增確診人數,累計確診人數
790,2022-12-31,2022-12-31,台北市,全區,2785,885194
791,2022-12-31,2022-12-31,台北市,內湖區,305,100476
792,2022-12-31,2022-12-31,台北市,文山區,276,95926
793,2022-12-31,2022-12-31,台北市,士林區,287,93522
794,2022-12-31,2022-12-31,台北市,北投區,276,87176
795,2022-12-31,2022-12-31,台北市,大安區,296,83750
796,2022-12-31,2022-12-31,台北市,中山區,262,82423
797,2022-12-31,2022-12-31,台北市,信義區,256,78909
798,2022-12-31,2022-12-31,台北市,萬華區,161,66504
799,2022-12-31,2022-12-31,台北市,松山區,209,63374
800,2022-12-31,2022-12-31,台北市,南港區,109,45091
801,2022-12-31,2022-12-31,台北市,中正區,172,44678
802,2022-12-31,2022-12-31,台北市,大同區,176,43365
1160,2022-12-30,2022-12-30,台北市,全區,2932,882409
1161,2022-12-30,2022-12-30,台北市,內湖區,331,100171
1162,2022-12-30,2022-12-30,台北市,文山區,367,95650
1163,2022-12-30,2022-12-30,台北市,士林區,310,93235
1164,2022-12-30,2022-12-30,台北市,北投區,266,86900
1165,2022-12-30,2022-12-30,台北市,大安區,261,83454
1166,2022-12-30,2022-12-30,台北市,中山區,279,82161
1167,2022-12-30,2022-12-30,台北市,信義區,250,78653
1168,2022-12-30,2022-12-30,台北市,萬華區,203,66343
1169,2022-12-30,2022-12-30,台北市,松山區,240,63165
1170,2022-12-30,2022-12-30,台北市,南港區,129,44982
1171,2022-12-30,2022-12-30,台北市,中正區,180,44506
1172,2022-12-30,2022-12-30,台北市,大同區,116,43189
1530,2022-12-29,2022-12-29,台北市,全區,3015,879477
1531,2022-12-29,2022-12-29,台北市,內湖區,361,99840
1532,2022-12-29,2022-12-29,台北市,文山區,316,95283
1533,2022-12-29,2022-12-29,台北市,士林區,333,92925
1534,2022-12-29,2022-12-29,台北市,北投區,287,86634
1535,2022-12-29,2022-12-29,台北市,大安區,331,83193
1536,2022-12-29,2022-12-29,台北市,中山區,274,81882
1537,2022-12-29,2022-12-29,台北市,信義區,252,78403
1538,2022-12-29,2022-12-29,台北市,萬華區,165,66140
1539,2022-12-29,2022-12-29,台北市,松山區,204,62925
1540,2022-12-29,2022-12-29,台北市,南港區,157,44853
1541,2022-12-29,2022-12-29,台北市,中正區,190,44326
1542,2022-12-29,2022-12-29,台北市,大同區,145,43073
1901,2022-12-28,2022-12-28,台北市,全區,3107,876462
1902,2022-12-28,2022-12-28,台北市,內湖區,328,99479
1903,2022-12-28,2022-12-28,台北市,文山區,349,94967
1904,2022-12-28,2022-12-28,台北市,士林區,324,92592
1905,2022-12-28,2022-12-28,台北市,北投區,272,86347
1906,2022-12-28,2022-12-28,台北市,大安區,308,82862
1907,2022-12-28,2022-12-28,台北市,中山區,330,81608
1908,2022-12-28,2022-12-28,台北市,信義區,285,78151
1909,2022-12-28,2022-12-28,台北市,萬華區,208,65975
1910,2022-12-28,2022-12-28,台北市,松山區,267,62721
1911,2022-12-28,2022-12-28,台北市,南港區,128,44696
1912,2022-12-28,2022-12-28,台北市,中正區,177,44136
1913,2022-12-28,2022-12-28,台北市,大同區,131,42928
2272,2022-12-27,2022-12-27,台北市,全區,3127,873355
2273,2022-12-27,2022-12-27,台北市,內湖區,361,99151
2274,2022-12-27,2022-12-27,台北市,文山區,375,94618
2275,2022-12-27,2022-12-27,台北市,士林區,359,92268
2276,2022-12-27,2022-12-27,台北市,北投區,262,86075
2277,2022-12-27,2022-12-27,台北市,大安區,298,82554
2278,2022-12-27,2022-12-27,台北市,中山區,304,81278
2279,2022-12-27,2022-12-27,台北市,信義區,243,77866
2280,2022-12-27,2022-12-27,台北市,萬華區,183,65767
2281,2022-12-27,2022-12-27,台北市,松山區,245,62454
2282,2022-12-27,2022-12-27,台北市,南港區,171,44568
2283,2022-12-27,2022-12-27,台北市,中正區,176,43959
2284,2022-12-27,2022-12-27,台北市,大同區,150,42797
2648,2022-12-26,2022-12-26,台北市,全區,2654,870228
2649,2022-12-26,2022-12-26,台北市,內湖區,306,98790
2650,2022-12-26,2022-12-26,台北市,文山區,296,94243
2651,2022-12-26,2022-12-26,台北市,士林區,243,91909
2652,2022-12-26,2022-12-26,台北市,北投區,238,85813
2653,2022-12-26,2022-12-26,台北市,大安區,274,82256
2654,2022-12-26,2022-12-26,台北市,中山區,256,80974
2655,2022-12-26,2022-12-26,台北市,信義區,219,77623
2656,2022-12-26,2022-12-26,台北市,萬華區,180,65584
2657,2022-12-26,2022-12-26,台北市,松山區,223,62209
2658,2022-12-26,2022-12-26,台北市,南港區,159,44397
2659,2022-12-26,2022-12-26,台北市,中正區,157,43783
2660,2022-12-26,2022-12-26,台北市,大同區,103,42647
3018,2022-12-25,2022-12-25,台北市,全區,1417,867574
3019,2022-12-25,2022-12-25,台北市,內湖區,164,98484
3020,2022-12-25,2022-12-25,台北市,文山區,167,93947
3021,2022-12-25,2022-12-25,台北市,士林區,189,91666
3022,2022-12-25,2022-12-25,台北市,北投區,112,85575
3023,2022-12-25,2022-12-25,台北市,大安區,135,81982
3024,2022-12-25,2022-12-25,台北市,中山區,106,80718
3025,2022-12-25,2022-12-25,台北市,信義區,116,77404
3026,2022-12-25,2022-12-25,台北市,萬華區,100,65404
3027,2022-12-25,2022-12-25,台北市,松山區,80,61986
3028,2022-12-25,2022-12-25,台北市,南港區,84,44238
3029,2022-12-25,2022-12-25,台北市,中正區,84,43626
3030,2022-12-25,2022-12-25,台北市,大同區,80,42544
3372,2022-12-24,2022-12-24,台北市,全區,1956,866157
3373,2022-12-24,2022-12-24,台北市,內湖區,239,98320
3374,2022-12-24,2022-12-24,台北市,文山區,201,93780
3375,2022-12-24,2022-12-24,台北市,士林區,186,91477
3376,2022-12-24,2022-12-24,台北市,北投區,196,85463
3377,2022-12-24,2022-12-24,台北市,大安區,182,81847
3378,2022-12-24,2022-12-24,台北市,中山區,172,80612
3379,2022-12-24,2022-12-24,台北市,信義區,189,77288
3380,2022-12-24,2022-12-24,台北市,萬華區,120,65304
3381,2022-12-24,2022-12-24,台北市,松山區,176,61906
3382,2022-12-24,2022-12-24,台北市,南港區,99,44154
3383,2022-12-24,2022-12-24,台北市,中正區,113,43542
3384,2022-12-24,2022-12-24,台北市,大同區,83,42464
3731,2022-12-23,2022-12-23,台北市,全區,1968,864201
3732,2022-12-23,2022-12-23,台北市,內湖區,221,98081
3733,2022-12-23,2022-12-23,台北市,文山區,163,93579
3734,2022-12-23,2022-12-23,台北市,士林區,217,91291
3735,2022-12-23,2022-12-23,台北市,北投區,188,85267
3736,2022-12-23,2022-12-23,台北市,大安區,214,81665
3737,2022-12-23,2022-12-23,台北市,中山區,193,80440
3738,2022-12-23,2022-12-23,台北市,信義區,180,77099
3739,2022-12-23,2022-12-23,台北市,萬華區,135,65184
3740,2022-12-23,2022-12-23,台北市,松山區,154,61730
3741,2022-12-23,2022-12-23,台北市,南港區,88,44055
3742,2022-12-23,2022-12-23,台北市,中正區,132,43429
3743,2022-12-23,2022-12-23,台北市,大同區,83,42381
4093,2022-12-22,2022-12-22,台北市,全區,2086,862233
4094,2022-12-22,2022-12-22,台北市,內湖區,236,97860
4095,2022-12-22,2022-12-22,台北市,文山區,232,93416
4096,2022-12-22,2022-12-22,台北市,士林區,229,91074
4097,2022-12-22,2022-12-22,台北市,北投區,173,85079
4098,2022-12-22,2022-12-22,台北市,大安區,211,81451
4099,2022-12-22,2022-12-22,台北市,中山區,198,80247
4100,2022-12-22,2022-12-22,台北市,信義區,172,76919
4101,2022-12-22,2022-12-22,台北市,萬華區,134,65049
4102,2022-12-22,2022-12-22,台北市,松山區,178,61576
4103,2022-12-22,2022-12-22,台北市,南港區,102,43967
4104,2022-12-22,2022-12-22,台北市,中正區,130,43297
4105,2022-12-22,2022-12-22,台北市,大同區,91,42298
4460,2022-12-21,2022-12-21,台北市,全區,2032,860147
4461,2022-12-21,2022-12-21,台北市,內湖區,235,97624
4462,2022-12-21,2022-12-21,台北市,文山區,220,93184
4463,2022-12-21,2022-12-21,台北市,士林區,170,90845
4464,2022-12-21,2022-12-21,台北市,北投區,208,84906
4465,2022-12-21,2022-12-21,台北市,大安區,184,81240
4466,2022-12-21,2022-12-21,台北市,中山區,201,80049
4467,2022-12-21,2022-12-21,台北市,信義區,182,76747
4468,2022-12-21,2022-12-21,台北市,萬華區,133,64915
4469,2022-12-21,2022-12-21,台北市,松山區,158,61398
4470,2022-12-21,2022-12-21,台北市,南港區,102,43865
4471,2022-12-21,2022-12-21,台北市,中正區,122,43167
4472,2022-12-21,2022-12-21,台北市,大同區,117,42207
4829,2022-12-20,2022-12-20,台北市,全區,2123,858115
4830,2022-12-20,2022-12-20,台北市,內湖區,222,97389
4831,2022-12-20,2022-12-20,台北市,文山區,223,92964
4832,2022-12-20,2022-12-20,台北市,士林區,240,90675
4833,2022-12-20,2022-12-20,台北市,北投區,235,84698
4834,2022-12-20,2022-12-20,台北市,大安區,210,81056
4835,2022-12-20,2022-12-20,台北市,中山區,174,79848
4836,2022-12-20,2022-12-20,台北市,信義區,166,76565
4837,2022-12-20,2022-12-20,台北市,萬華區,151,64782
4838,2022-12-20,2022-12-20,台北市,松山區,187,61240
4839,2022-12-20,2022-12-20,台北市,南港區,99,43763
4840,2022-12-20,2022-12-20,台北市,中正區,114,43045
4841,2022-12-20,2022-12-20,台北市,大同區,102,42090
5191,2022-12-19,2022-12-19,台北市,全區,1728,855992
5192,2022-12-19,2022-12-19,台北市,內湖區,197,97167
5193,2022-12-19,2022-12-19,台北市,文山區,160,92741
5194,2022-12-19,2022-12-19,台北市,士林區,174,90435
5195,2022-12-19,2022-12-19,台北市,北投區,181,84463
5196,2022-12-19,2022-12-19,台北市,大安區,186,80846
5197,2022-12-19,2022-12-19,台北市,中山區,150,79674
5198,2022-12-19,2022-12-19,台北市,信義區,180,76399
5199,2022-12-19,2022-12-19,台北市,萬華區,118,64631
5200,2022-12-19,2022-12-19,台北市,松山區,142,61053
5201,2022-12-19,2022-12-19,台北市,南港區,66,43664
5202,2022-12-19,2022-12-19,台北市,中正區,91,42931
5203,2022-12-19,2022-12-19,台北市,大同區,83,41988
5558,2022-12-18,2022-12-18,台北市,全區,1035,854264
5559,2022-12-18,2022-12-18,台北市,內湖區,139,96970
5560,2022-12-18,2022-12-18,台北市,文山區,109,92581
5561,2022-12-18,2022-12-18,台北市,士林區,103,90261
5562,2022-12-18,2022-12-18,台北市,北投區,87,84282
5563,2022-12-18,2022-12-18,台北市,大安區,103,80660
5564,2022-12-18,2022-12-18,台北市,中山區,91,79524
5565,2022-12-18,2022-12-18,台北市,信義區,86,76219
5566,2022-12-18,2022-12-18,台北市,萬華區,78,64513
5567,2022-12-18,2022-12-18,台北市,松山區,80,60911
5568,2022-12-18,2022-12-18,台北市,南港區,57,43598
5569,2022-12-18,2022-12-18,台北市,中正區,59,42840
5570,2022-12-18,2022-12-18,台北市,大同區,43,41905
5908,2022-12-17,2022-12-17,台北市,全區,1590,853229
5909,2022-12-17,2022-12-17,台北市,內湖區,182,96831
5910,2022-12-17,2022-12-17,台北市,文山區,199,92472
5911,2022-12-17,2022-12-17,台北市,士林區,156,90158
5912,2022-12-17,2022-12-17,台北市,北投區,160,84195
5913,2022-12-17,2022-12-17,台北市,大安區,166,80557
5914,2022-12-17,2022-12-17,台北市,中山區,152,79433
5915,2022-12-17,2022-12-17,台北市,信義區,137,76133
5916,2022-12-17,2022-12-17,台北市,萬華區,97,64435
5917,2022-12-17,2022-12-17,台北市,松山區,114,60831
5918,2022-12-17,2022-12-17,台北市,南港區,63,43541
5919,2022-12-17,2022-12-17,台北市,中正區,89,42781
5920,2022-12-17,2022-12-17,台北市,大同區,75,41862
6267,2022-12-16,2022-12-16,台北市,全區,1572,851639
6268,2022-12-16,2022-12-16,台北市,內湖區,178,96649
6269,2022-12-16,2022-12-16,台北市,文山區,153,92273
6270,2022-12-16,2022-12-16,台北市,士林區,167,90002
6271,2022-12-16,2022-12-16,台北市,北投區,154,84035
6272,2022-12-16,2022-12-16,台北市,大安區,178,80391
6273,2022-12-16,2022-12-16,台北市,中山區,158,79281
6274,2022-12-16,2022-12-16,台北市,信義區,130,75996
6275,2022-12-16,2022-12-16,台北市,萬華區,87,64338
6276,2022-12-16,2022-12-16,台北市,松山區,136,60717
6277,2022-12-16,2022-12-16,台北市,南港區,80,43478
6278,2022-12-16,2022-12-16,台北市,中正區,89,42692
6279,2022-12-16,2022-12-16,台北市,大同區,62,41787
6631,2022-12-15,2022-12-15,台北市,全區,1469,850067
6632,2022-12-15,2022-12-15,台北市,內湖區,164,96471
6633,2022-12-15,2022-12-15,台北市,文山區,126,92120
6634,2022-12-15,2022-12-15,台北市,士林區,138,89835
6635,2022-12-15,2022-12-15,台北市,北投區,154,83881
6636,2022-12-15,2022-12-15,台北市,大安區,161,80213
6637,2022-12-15,2022-12-15,台北市,中山區,140,79123
6638,2022-12-15,2022-12-15,台北市,信義區,132,75866
6639,2022-12-15,2022-12-15,台北市,萬華區,87,64251
6640,2022-12-15,2022-12-15,台北市,松山區,103,60581
6641,2022-12-15,2022-12-15,台北市,南港區,85,43398
6642,2022-12-15,2022-12-15,台北市,中正區,93,42603
6643,2022-12-15,2022-12-15,台北市,大同區,86,41725
7001,2022-12-14,2022-12-14,台北市,全區,1552,848598
7002,2022-12-14,2022-12-14,台北市,內湖區,166,96307
7003,2022-12-14,2022-12-14,台北市,文山區,176,91994
7004,2022-12-14,2022-12-14,台北市,士林區,151,89697
7005,2022-12-14,2022-12-14,台北市,北投區,125,83727
7006,2022-12-14,2022-12-14,台北市,大安區,209,80052
7007,2022-12-14,2022-12-14,台北市,中山區,129,78983
7008,2022-12-14,2022-12-14,台北市,信義區,129,75734
7009,2022-12-14,2022-12-14,台北市,萬華區,95,64164
7010,2022-12-14,2022-12-14,台北市,松山區,99,60478
7011,2022-12-14,2022-12-14,台北市,南港區,98,43313
7012,2022-12-14,2022-12-14,台北市,中正區,90,42510
7013,2022-12-14,2022-12-14,台北市,大同區,85,41639
7359,2022-12-13,2022-12-13,台北市,全區,1767,847046
7360,2022-12-13,2022-12-13,台北市,內湖區,228,96141
7361,2022-12-13,2022-12-13,台北市,文山區,156,91818
7362,2022-12-13,2022-12-13,台北市,士林區,178,89546
7363,2022-12-13,2022-12-13,台北市,北投區,193,83602
7364,2022-12-13,2022-12-13,台北市,大安區,195,79843
7365,2022-12-13,2022-12-13,台北市,中山區,158,78854
7366,2022-12-13,2022-12-13,台北市,信義區,143,75605
7367,2022-12-13,2022-12-13,台北市,萬華區,82,64069
7368,2022-12-13,2022-12-13,台北市,松山區,126,60379
7369,2022-12-13,2022-12-13,台北市,南港區,100,43215
