日期,人數,未確診人數
2022/1/1,0,0
2022/1/2,1,0
2022/1/3,1,0
2022/1/4,1,0
2022/1/5,1,0
2022/1/6,1,0
2022/1/7,1,0
2022/1/8,1,0
2022/1/9,1,0
2022/1/10,1,0
2022/1/11,1,0
2022/1/12,1,0
2022/1/13,1,0
2022/1/14,1,0
2022/1/15,1,0
2022/1/16,1,0
2022/1/17,1,0
2022/1/18,1,0
2022/1/19,1,0
2022/1/20,2,0
2022/1/21,1,0
2022/1/22,2,0
2022/1/23,2,0
2022/1/24,2,0
2022/1/25,2,0
2022/1/26,1,0
2022/1/27,5,0
2022/1/28,1,0
2022/1/29,1,0
2022/1/30,1,0
2022/1/31,1,0
2022/2/1,1,0
2022/2/2,1,0
2022/2/3,1,0
2022/2/4,1,0
2022/2/5,3,0
2022/2/6,4,0
2022/2/7,6,0
2022/2/8,1,0
2022/2/9,1,0
2022/2/10,1,0
2022/2/11,1,0
2022/2/12,1,0
2022/2/13,1,0
2022/2/14,1,0
2022/2/15,1,0
2022/2/16,3,0
2022/2/17,1,0
2022/2/18,5,0
2022/2/19,2,0
2022/2/20,1,0
2022/2/21,1,0
2022/2/22,1,0
2022/2/23,1,0
2022/2/24,1,0
2022/2/25,1,0
2022/2/26,1,0
2022/2/27,1,0
2022/2/28,1,0
2022/3/1,1,0
2022/3/2,1,0
2022/3/3,1,0
2022/3/4,1,0
2022/3/5,1,0
2022/3/6,1,0
2022/3/7,1,0
2022/3/8,1,0
2022/3/9,1,0
2022/3/10,1,0
2022/3/11,2,0
2022/3/12,2,0
2022/3/13,1,0
2022/3/14,1,0
2022/3/15,1,0
2022/3/16,1,0
2022/3/17,1,0
2022/3/18,1,0
2022/3/19,1,0
2022/3/20,1,0
2022/3/21,1,0
2022/3/22,3,0
2022/3/23,1,0
2022/3/24,1,0
2022/3/25,1,0
2022/3/26,1,0
2022/3/27,1,0
2022/3/28,5,0
2022/3/29,1,0
2022/3/30,7,0
2022/3/31,10,0
2022/4/1,19,0
2022/4/2,13,0
2022/4/3,22,0
2022/4/4,29,0
2022/4/5,41,0
2022/4/6,83,0
2022/4/7,61,0
2022/4/8,74,0
2022/4/9,67,0
2022/4/10,97,0
2022/4/11,101,0
2022/4/12,142,0
2022/4/13,147,0
2022/4/14,145,0
2022/4/15,185,0
2022/4/16,222,0
2022/4/17,246,0
2022/4/18,284,0
2022/4/19,399,0
2022/4/20,618,0
2022/4/21,753,0
2022/4/22,831,0
2022/4/23,980,0
2022/4/24,999,0
2022/4/25,1472,0
2022/4/26,1811,0
2022/4/27,2336,0
2022/4/28,2570,0
2022/4/29,3002,0
2022/4/30,3981,0
2022/5/1,3459,0
2022/5/2,4413,0
2022/5/3,5097,0
2022/5/4,6038,0
2022/5/5,7295,0
2022/5/6,8171,0
2022/5/7,7479,0
2022/5/8,6439,0
2022/5/9,7751,0
2022/5/10,9419,0
2022/5/11,9818,0
2022/5/12,10886,0
2022/5/13,8870,0
2022/5/14,10832,0
2022/5/15,8623,0
2022/5/16,9081,0
2022/5/17,10959,0
2022/5/18,11246,0
2022/5/19,10338,0
2022/5/20,9830,0
2022/5/21,8906,0
2022/5/22,6629,0
2022/5/23,7926,0
2022/5/24,8206,0
2022/5/25,8238,0
2022/5/26,8466,0
2022/5/27,7240,0
2022/5/28,6645,0
2022/5/29,5031,0
2022/5/30,5956,0
2022/5/31,6656,0
2022/6/1,5454,0
2022/6/2,5248,0
2022/6/3,4467,0
2022/6/4,3780,0
2022/6/5,3196,0
2022/6/6,5020,0
2022/6/7,4695,0
2022/6/8,4313,0
2022/6/9,4202,0
2022/6/10,3311,0
2022/6/11,4327,0
2022/6/12,2674,0
2022/6/13,3520,0
2022/6/14,3790,0
2022/6/15,3449,0
2022/6/16,3174,0
2022/6/17,3020,0
2022/6/18,2915,0
2022/6/19,2151,0
2022/6/20,3166,0
2022/6/21,3179,0
2022/6/22,3073,0
2022/6/23,2849,0
2022/6/24,2467,0
2022/6/25,2430,0
2022/6/26,1830,0
2022/6/27,2748,0
2022/6/28,2982,0
2022/6/29,2771,0
2022/6/30,2495,0
2022/7/1,2336,0
2022/7/2,2419,0
2022/7/3,1720,0
2022/7/4,2691,0
2022/7/5,2738,0
2022/7/6,2576,0
2022/7/7,2491,0
2022/7/8,2244,0
2022/7/9,2353,0
2022/7/10,1595,0
2022/7/11,2518,0
2022/7/12,2816,0
2022/7/13,2476,0
2022/7/14,2314,0
2022/7/15,2141,0
2022/7/16,2230,0
2022/7/17,1550,0
2022/7/18,2685,0
2022/7/19,2636,0
2022/7/20,2538,0
2022/7/21,2268,0
2022/7/22,2130,0
2022/7/23,1980,0
2022/7/24,1566,0
2022/7/25,2303,0
2022/7/26,2368,0
2022/7/27,2305,0
2022/7/28,2089,0
2022/7/29,1861,0
2022/7/30,1900,0
2022/7/31,1452,0
2022/8/1,2102,0
2022/8/2,2245,0
2022/8/3,2250,0
2022/8/4,2202,0
2022/8/5,2046,0
2022/8/6,2141,0
2022/8/7,1370,0
2022/8/8,2448,0
2022/8/9,2423,0
2022/8/10,2377,0
2022/8/11,2282,0
2022/8/12,2318,0
2022/8/13,2263,0
2022/8/14,1675,0
2022/8/15,2464,0
2022/8/16,2911,0
2022/8/17,2701,0
2022/8/18,2625,0
2022/8/19,2524,0
2022/8/20,2483,0
2022/8/21,1881,0
2022/8/22,3073,0
2022/8/23,3194,0
2022/8/24,3278,0
2022/8/25,2905,0
2022/8/26,3088,0
2022/8/27,3105,0
2022/8/28,2380,0
2022/8/29,3721,0
2022/8/30,4143,0
2022/8/31,4149,0
2022/9/1,4106,0
2022/9/2,3933,0
2022/9/3,4104,0
2022/9/4,2948,0
2022/9/5,4450,0
2022/9/6,5419,0
2022/9/7,4338,0
2022/9/8,4288,0
2022/9/9,4356,0
2022/9/10,3731,0
2022/9/11,2894,0
2022/9/12,5439,0
2022/9/13,5696,0
2022/9/14,5263,0
2022/9/15,4785,0
2022/9/16,4585,0
2022/9/17,4365,0
2022/9/18,3177,0
2022/9/19,5102,0
2022/9/20,5564,0
2022/9/21,4872,0
2022/9/22,4504,0
2022/9/23,4289,0
2022/9/24,4263,0
2022/9/25,3178,0
2022/9/26,4960,0
2022/9/27,5405,0
2022/9/28,4871,0
2022/9/29,4601,0
2022/9/30,4693,0
2022/10/1,4708,0
2022/10/2,3516,0
2022/10/3,5096,0
2022/10/4,6147,0
2022/10/5,5147,0
2022/10/6,5317,0
2022/10/7,4793,0
2022/10/8,4387,0
2022/10/9,3256,0
2022/10/10,3773,0
2022/10/11,5090,0
2022/10/12,5430,0
2022/10/13,4744,0
2022/10/14,4255,0
2022/10/15,4021,0
2022/10/16,2826,0
2022/10/17,4254,0
2022/10/18,4234,0
2022/10/19,3735,0
2022/10/20,3400,0
2022/10/21,3290,0
2022/10/22,3390,0
2022/10/23,2449,0
2022/10/24,3482,0
2022/10/25,3703,0
2022/10/26,3260,0
2022/10/27,3082,0
2022/10/28,2970,0
2022/10/29,2862,0
2022/10/30,1925,0
2022/10/31,2948,0
2022/11/1,2815,0
2022/11/2,2707,0
2022/11/3,2442,0
2022/11/4,2151,0
2022/11/5,2084,0
2022/11/6,1302,0
2022/11/7,2008,0
2022/11/8,2163,0
2022/11/9,1907,0
2022/11/10,1638,0
2022/11/11,1579,0
2022/11/12,1505,0
2022/11/13,1266,0
2022/11/14,1613,0
2022/11/15,2039,0
2022/11/16,1731,0
2022/11/17,1533,0
2022/11/18,1417,0
2022/11/19,1453,0
2022/11/20,1034,0
2022/11/21,1491,0
2022/11/22,1512,0
2022/11/23,1373,0
2022/11/24,1226,0
2022/11/25,1126,0
2022/11/26,1139,0
2022/11/27,877,0
2022/11/28,1470,0
2022/11/29,1590,0
2022/11/30,1251,0
